School,Department,Start Time,End Time,Description
【兰州大学】,信息科学与工程学院,2024-05-29,2024-06-20,兰州大学信息科学与工程学院2024年优秀大学生暑期夏令营活动通知发布时间：2024-05-29为了加强兰州大学信息学科的发展，增进大学生对信息学科的进一步了解，促进对信息学科有着浓厚兴趣的大学生之间的交流，选拔有培养潜质的优秀大学生继续深造，我院特举办“兰州大学信息科学与工程学院2024年优秀大学生暑期夏令营活动”。现就有关事项通知如下：一、活动时间：2024年7月17日-19日二、活动名额：30
【浙江大学】,心理与行为科学系,2024-05-29,2024-06-15,浙江大学心理与行为科学系2024年全国优秀大学生夏令营活动通知 浙江大学心理与行为科学系计划于2024年6月26日—28日举办“2024年全国优秀大学生暑期学术夏令营”活动（线下）。本次夏令营拟面向全国招收营员30名。活动内容包含了解浙大校史文化、心理学前沿学术讲座、实验室参观、师生交流等。热忱欢迎优秀学子们踊跃报名！一、招收对象面向全国优秀高校、预期能获得本科在读院校推免资格且有意攻读心理系直接
【浙江大学】,机械工程学院,2024-05-22,2024-06-20,浙江大学机械工程学院2024年全国优秀大学生暑期学术夏令营活动通知时间：2024-05-22浙江大学机械工程学院起源于1911年浙江中等工业学堂机械科，是我国最早从事机械科学研究和人才培养的单位之一。在百余年的办学历程中，培养了数以万计的优秀人才，涌现出了以路甬祥、林俊德等为代表的一批杰出的科学家、教育家和先进人物，为国家的繁荣发展和科学技术的进步做出了重要贡献。近年来，荣获国家科技进步奖一等奖1
【浙江大学】,社会学系,2024-05-29,2024-06-17,浙江大学社会学系2024年大学生“群学肄言”夏令营活动通知发布时间：2024-05-29浙江大学社会学系历史悠久，凝聚了几代学人的共同努力和不懈追求。2016年，社会学专业被浙江大学纳入“一流骨干基础学科建设支持计划”，由时任芝加哥大学和浙江大学教授的赵鼎新老师担任学科建设首席专家，全面领导社会学系改革。社会学系师资雄厚，教师博士学历占比91.3%，近年来大力引进海外名校毕业的中青年学者，到202
【浙江大学】,环境与资源学院,2024-05-29,2024-06-25,浙江大学环境与资源学院关于举办2024年全国优秀大学生学术夏令营的通知发布时间：2024-05-29浙江大学环境与资源学院全国优秀大学生学术夏令营为国内高校优秀青年学子搭建交流平台，增进对学校和学院的深入了解。活动时间定于7月份，欢迎符合条件的优秀大学生踊跃报名。参加本次夏令营的营员经过选拔有机会获得“优秀营员”称号。优秀营员在获得其所在学校的推荐免试研究生资格后，推免生招生时同等条件下将被我院优
【湖南大学】,物理与微电子科学学院,2024-05-29,2024-06-14,湖南大学物理与微电子科学学院2024年优秀大学生暑期夏令营活动方案创建于2024年05月29日为促进高校优秀大学生之间的学术交流，增进学生对我院学科、科研及研究生培养的了解，我院将于2024年7月举办“优秀大学生暑期夏令营”活动（以下简称夏令营活动）。夏令营活动期间，学院将开展推荐免试硕士研究生、直博生候选人选拔工作，欢迎全国各高校优秀大学生报名。本年度拟接收60-80名优秀本科生参加暑期夏令营，
【湖南大学】,公共管理学院,2024-05-29,2024-06-22,湖南大学公共管理学院2024年优秀大学生暑期夏令营活动通知为促进高校优秀大学生之间的学术交流，增进学生对我院学科、科研及研究生培养的了解，我院将于2024年7月举办“优秀大学生暑期夏令营”活动（以下简称夏令营活动）。夏令营活动期间，学院将开展推荐免试硕士研究生、直博生候选人选拔工作，欢迎全国各高校优秀大学生报名。本年度拟接收60-70名优秀本科生参加暑期夏令营。一、申请条件1.拥护中国共产党的领导
【湖南大学】,土木工程学院,2024-05-29,2024-06-14,学院2024年优秀大学生暑期夏令营活动通知
【中南大学】,湘雅护理学院,2024-05-29,2024-06-12,"湘雅护理学院关于举办“中南大学2024年优秀大学生暑期夏令营”活动的通知为增进优秀大学生对中南大学湘雅护理学院的了解，促进校际交流和优秀人才的选拔深造，我院将在2024年7月举办""中南大学优秀大学生夏令营""活动。一、报名时间2024年6月1日-6月12日二、报名条件1．全日制2025届护理学相关专业本科毕业生；2．拥护中国共产党的领导，愿为社会主义现代化建设服务，品德良好，遵纪守法；3．学习成绩优"
【上海大学】,国际教育学院,2024-05-29,2024-06-21,上海大学国际教育学院2024年全国优秀大学生线上夏令营活动通知为促进国内高校大学生之间的学术交流，加深国内大学生对上海大学国际教育学院国际中文教育硕士专业以及国内国际中文教育学科前沿动态的了解，我院拟于2024年6月27日—6月28日举办2024年全国优秀大学生国际中文教育线上夏令营，现将具体事宜通知如下。一、日程安排本次活动期间，将安排学术讲座、导师交流、新老生座谈等多种形式的活动。•6月27日
【华东理工大学】,信息科学与工程学院,2024-05-29,2024-06-20,【招生】华东理工大学信息科学与工程学院2024年全国大学生暑期夏令营通知发布时间：2024-05-29信息科学与工程学院将于2024年7月5日-7日举办第十四届“全国大学生暑期夏令营”活动。本次夏令营采用线下交流形式进行，活动期间将举办丰富的学术活动。本夏令营旨在促进师生之间的交流、激发学生从事科学研究的兴趣、增进大学生对我校信息学院的了解，为应届毕业生构建继续深造和发展的平台。热忱欢迎来自全国各
【华东理工大学】,生物工程学院,2024-05-29,2024-06-20,华东理工大学生物工程学院2024年全国大学生暑期夏令营通知
【华东理工大学】,化学与分子工程学院,2024-05-29,2024-06-30,化学与分子工程学院2024年全国大学生暑期夏令营通知为增进全国高校优秀学子对华东理工大学化学与分子工程学院的认识和了解，促进不同高校优秀大学生间的沟通和交流，激发学生的科研兴趣，选拔有培养潜质的优秀学生继续深造，我院将于2024年7月12日-7月14日举办全国优秀大学生暑期夏令营活动。期间我院将举办丰富的学术活动，热忱欢迎来自全国各地的优秀大三本科生参加。本次夏令营活动采取线下形式，拟招收营员80
【华东理工大学】,资源与环境工程学院,2024-05-29,2024-06-30,华东理工大学资源与环境工程学院关于举办2024年全国大学生暑期夏令营活动的通知发布时间：2024-05-29   为促进全国各高校优秀大学生之间的交流与沟通，增进优秀大学生对华东理工大学资源与环境工程学院的了解，激发优秀大学生对相关问题研究的兴趣，并为应届毕业生提供继续深造的机会，华东理工大学资源与环境工程学院将于2024年7月12日至7月14日举办全国优秀大学生暑期夏令营。本次夏令营拟采用线下交
【华东理工大学】,艺术设计与传媒学院,2024-05-29,2024-06-20,艺术设计与传媒学院2024年全国大学生暑期夏令营通知发布时间：2024-05-29 艺术设计与传媒学院将于2024年7月2日--7月4日举办“大学生暑期夏令营活动”。本次活动旨在促进大学生之间的交流、激发大学生从事科学研究的兴趣、增进大学生对我校艺术学院的了解，为一批热爱科研、基础扎实、素质全面、德才兼备的应届本科毕业生构建继续深造和发展的平台。我院现有设计学、景观规划设计、机械（工业设计工程方向
【中国科学院大学】,南京地理与湖泊研究所,2024-05-29,2024-06-20,2024年中国科学院南京地理与湖泊研究所“霞客行”大学生夏令营活动报名通知2024年05月28日中国科学院南京地理与湖泊研究所（以下简称“南京地湖所”）前身系1940年8月在重庆北碚成立的中国地理研究所，是中国地理学的摇篮，也是中国科学院大学研究生培养点之一。我所现有5个招生专业：自然地理学、人文地理学、地图学与地理信息系统、环境科学、及资源与环境类别环境工程方向全日制专业学位工程硕士。在2017
【西安交通大学】,化学学院,2024-05-29,2024-06-20,化学学院2024年全国优秀大学生夏令营通知日期:2024-05-29  为促进国内高校大学生之间的交流与学习，培养学生从事化学科学研究的兴趣，选拔优秀的大学生来我院继续深造，西安交通大学化学学院将于2024年暑假期间举办“西安交通大学化学夏令营”活动。本次夏令营邀请的对象主要为成绩优秀、热爱化学并且有志于进一步从事化学研究的学生。夏令营活动主要包括化学学院化学学科的介绍以及各研究方向的发展情况，参
【西安交通大学】,数学与统计学院,2024-05-29,2024-06-20,2024年（第十三届）全国大学生数学夏令营通知发布时间:2024-05-28为促进全国高校之间优秀大学生的交流与互动，西安交通大学数学与统计学院将于2024年7月中下旬举办“2024年（第十三届）全国大学生数学夏令营”。本次夏令营计划在全国高校范围内招收数学、统计学及相关专业的三年级本科生。夏令营期间将通过学院宣讲、学术报告、系所开放日、导师交流等活动，旨在打造数学、统计学创新人才学习和交流的平台
【上海外国语大学】,日本文化经济学院,2024-05-29,2024-06-20,"上海外国语大学日本文化经济学院“日语语言文学”专业2024年优秀大学生夏令营招生简章上海外国语大学外国语言文学学科入选国家“一流学科”建设计划，在全国第四轮学科评估中，评为A+,与北大、北外并列第一。其中，日本文化经济学院的“日语语言文学学科”是中国最早设立的日语学科点之一，至今已有65年的历史。学院的建立最早可以追溯到1959年2月，当年学校增设了日语专业。1960年9月开始招收四年制本科学生。"
【上海财经大学】,统计与管理学院,2024-05-29,2024-06-16,上海财经大学统计与管理学院关于举办2024年第八届“上财统计夏令营”活动的通知提示：我院原则上将2024年第八届“上财统计夏令营”作为选拔2025年推荐免试研究生的主要方式（不含我院本科生），欢迎有意申请我院推荐免试研究生的本科生参加本次夏令营活动。一、学院简述上海财经大学统计学科始建于1946年，是上海财经大学最早设立的三大系科之一。作为一个历史悠久、成绩斐然的传统优势学科，我校统计学在国内同专
【上海财经大学】,会计学院,2024-05-29,2024-06-18,上海财经大学会计学院关于举办“第十五届全国优秀大学生夏令营”的通知发布时间：2024-05-29重要提示：本次夏令营仅面向外校和本校外院的本科在读大三学生，是上海财经大学会计学院选拔2025年除本院外的推荐免试研究生的主要方式。热忱欢迎广大优秀学子报名参加！上海财经大学会计学院源于1917年南京高等师范学校商业专修科下的会计专业，1997年更为现名。学院具有本科、硕士研究生和博士研究生三个办学层次
【上海财经大学】,城市与区域科学学院,2024-05-29,2024-06-20,上海财经大学城市与区域科学学院/财经研究所关于举办2024年“区域科学与城市经济前沿夏令营”的通知重要提示：上海财经大学城市与区域科学学院/财经研究所将本次夏令营作为选拔2025年推荐免试研究生的主要方式，欢迎有意报考我院/所的考生参加本次夏令营活动。一、院/所简述上海财经大学城市与区域科学学院是与财经研究所并列设置的独立教学科研单位，是区域经济学、城市经济与管理、农业经济学、能源经济等学科的主要
【华东师范大学】,地理科学学院,2024-05-28,2024-06-10,华东师范大学地理科学学院2024年全国高校优秀大学生夏令营活动通知一、指导思想以举办“优秀大学生夏令营”为契机，促进校际交流，创新拔尖人才选拔机制，逐步建立健全与培养质量、学科水平、专业特色相联系的充满生机与活力的学位与研究生教育体系。二、夏令营主题乡村振兴与绿色发展三、夏令营承办单位与时间1、承办单位华东师范大学地理科学学院地理信息科学教育部重点实验室自然资源部超大城市自然资源时空大数据分析应用
【华东师范大学】,生态与环境科学学院,2024-05-29,2024-06-12,生态与环境科学学院举办2024年“优秀大学生夏令营”活动公告发布时间：2024-05-29学院及活动简介华东师范大学是教育部与上海市人民政府重点共建的综合性研究型大学，2006年进入国家“985工程”高校行列，2017年进入国家“世界一流大学”建设高校A类行列。华东师范大学生态与环境科学学院拥有生态学、环境科学与工程两个一级学科，办学特色鲜明、师资力量雄厚，具有从本科、硕士至博士的完整培养体系。作
【华东师范大学】,药学院,2024-05-29,2024-06-16,华东师范大学招收药学学术学位硕士、博士2024年全国优秀大学生夏令营活动通知发布时间：2024-05-28华东师范大学是由国家举办、教育部主管，教育部与上海市人民政府重点共建的综合性研究型985、211、双一流大学。作为新型药学人才培养和科学研究平台，学院将通过建立新的运行机制，形成新的文化氛围，努力建设成为面向国际前沿和国家战略需求的药物科学前沿基地和未来药学人才培养基地。学院下设药物科学系和药
【同济大学】,土木工程学院,2024-05-29,2024-06-13,同济大学土木工程学院优秀学生暑期学校活动通知
【同济大学】,政治与国际关系学院,2024-05-29,2024-06-26,政治与国际关系学院2024年优秀学生暑假学校活动通知
【同济大学】,设计创意学院,2024-05-29,2024-06-16,2024年同济大学上海国际设计创新学院优秀学生暑期学校活动通知一、 活动目的及学院、学科简介为促进高校优秀学生之间的学术交流，加强学生对同济大学上海国际设计创新学院的学科特色及相关研究的了解，感受学院良好的学习环境和学术氛围，促进学生与学院的相互了解，继而发掘具有设计研究能力和专业潜质的优秀生源，同济大学上海国际设计创新学院将于2024年7月8日至7月12日举办“2024年同济大学上海国际设计创新
【中国科学院大学】,资源与环境学院,2024-05-29,2024-06-25,中国科学院大学资源与环境学院2024年资环领域优秀大学生夏令营活动通知 2024-05-29     中国科学院大学（国科大）资源与环境学院（简称资环学院）成立于2004年，是国科大的基础学院之一，学院院长为著名环境化学家江桂斌院士。学院拥有环境科学与工程、地理学、生态学等A+学科的博士、硕士学位授予权，专业包括环境科学、环境工程、自然地理学、人文地理学、地图学与地理信息系统、生态学、土壤学等。学
【上海交通大学】,机械与动力工程学院,2024-05-29,2024-06-20,【研究生夏令营】2025级研究生夏令营宣传及选拔活动通知上海交通大学机械与动力工程学院研究生夏令营宣传及选拔活动现已启动，学院将组织开展宣传和选拔面试等系列活动，欢迎全国各地的优秀学子报名参加。一、申请条件1、拥护中国共产党，热爱祖国，品德优良，遵纪守法，身心健康。2、诚实守信，学风端正。不存在考试作弊、剽窃他人学术成果等有违学术道德、专业伦理的行为以及其他违法违纪受处分或受处罚记录。3、健康状况
【中国科学技术大学】,管理学院（金融硕士）,2024-05-29,2024-06-30,中国科大MF全国高校优秀大学生夏令营报名啦！2024-05-29第九届管理与统计金融夏令营由中国科学技术大学管理学院承办，管理学院热忱欢迎全国高校优秀大学生申请推免到我院相关专业继续深造。夏令营活动期间，管理学院将充分利用校内外优质的教育资源，邀请相关领域知名专家、学者开设专题讲座和前沿报告等系列活动。一、申请资格1、全日制2025届本科毕业生；2、拥护中国共产党的领导，愿为社会主义现代化建设服务
【中国科学技术大学】,研究生院科学岛分院,2024-05-29,2024-06-30,第十一届科学岛大学生夏令营报名通知（含环光学院） 来源时间：2024年05月29日一、申请资格本科期间学习成绩优秀，有意向攻读硕士和博士学位、乐于为我国科研事业作出贡献的大三优秀本科生。二、规模及对象500名左右，物理、化学、光学、材料科学、环境科学、大气科学、核科学与技术、计算机技术、精密仪器与机械、控制科学与工程、电气工程、通信工程、软件工程、模式识别、医学、生物、农学等相关院系专业排名前10
【东北师范大学】,外国语学院,2024-05-29,2024-06-16,外国语学院2024年优秀大学生暑期夏令营招生简章发布日期：[2024-05-29]报名截止时间为6月16日24:00。夏令营6月28日-30日于线上进行。在网上报名系统完成信息填报后，加入QQ群135564110，按照简章要求在群文件提交PDF版材料。注：系统中填报的【手机号码】，请与《申请推荐表》中的号码一致。【电子邮箱】建议填报QQ邮箱，与《申请推荐表》中的QQ号一致。【外语语种】填本专业语种
【南京师范大学】,新闻与传播学院,2024-05-29,2024-06-15,南京师范大学新闻与传播学院2024年全国优秀本科生夏令营活动公告发表时间：2024-05-29 六朝古都，金陵风华，百廿南师期待在最美的东方校园与你相遇。求真善学，新益求新，新闻与传播学院愿为你呈现一场盛夏的追梦之旅。亲爱的2025应届优秀本科生同学，欢迎报名参加南京师范大学新闻与传播学院2024年优秀本科生夏令营！一、招收专业与人数本次夏令营主要面向全日制培养硕士点，优先鼓励有志于进入新闻传播学
【武汉大学】,新闻与传播学院,2024-05-29,2024-06-15,武汉大学新闻与传播学院2024年优秀大学生夏令营活动实施方案为了促进青年学生对新闻传播学科学习和研究的兴趣以及高校优秀大学生之间的交流，增加对武汉大学新闻与传播学院的了解和认识，同时提高我院研究生生源质量，特举办武汉大学新闻与传播学院2024年优秀大学生夏令营活动。一、夏令营活动组织领导小组强月新、刘朝晖、吴世文、丁雪琴、洪毅生二、夏令营时间与活动内容（一）6月1日-6月15日，接受网上报名和纸质
【西南大学】,教育学部,2024-05-29,2024-06-25,西南大学教育学部2024年“优秀大学生学术夏令营”通知一、活动简介西南大学是教育部直属，教育部、农业农村部、重庆市共建的重点综合大学，是国家首批“双一流”建设高校，“211工程”和“985工程优势学科创新平台”建设高校，2005年由西南师范大学与西南农业大学合并组建而成。学校位于新时代西部大开发重要战略支点、内陆开放综合枢纽、美丽且富有活力的山城重庆。西南大学教育学科实力雄厚，在教育部学科评估中被
【广东外语外贸大学】,国际治理创新学院,2024-05-28,2024-06-09,国际治理创新学院2024年优秀大学生暑期夏令营招生简章发布时间：2024-05-28广东外语外贸大学是广东省高水平大学重点建设高校。学校具有鲜明的国际化特色，是华南地区国际化人才培养，外国语言文学、全球经济治理、涉外法治研究及中华文化国际传播的重要基地。为促进大学生相互交流，提高青年学生的学习热情和研究兴趣，使更多优秀大学生走进广东外语外贸大学，学校决定举办“广东外语外贸大学2024年优秀大学生暑
【浙江大学】,数据科学研究中心,2024-05-28,2024-06-20,2024年浙江大学数据科学研究中心“数据科学与工程”项目优秀大学生夏令营报名通知浙江大学数据科学研究中心将于2024年7月初与浙江大学国际联合商学院（ZIBS）联合举办线下“数据科学与工程”项目（海宁国际校区）优秀大学生夏令营。活动旨在为全国各高校优秀大学生搭建交流平台，增进对浙江大学数据科学研究中心、浙江大学国际联合商学院和数据科学与工程硕士（internationalMasterofDataS
【上海外国语大学】,国际金融贸易学院（金融硕士）,2024-05-28,2024-06-20,上海外国语大学金融硕士2024年全国优秀大学生夏令营招生简章一、金融硕士项目上海外国语大学金融硕士（MF）项目于2014年5月获国务院学位委员会、教育部批复设立，旨在培养具备良好的政治思想素质和职业道德素养，既深谙国际经济与金融规则，熟练驾驭全球金融管理工具，又具有卓越的国际沟通能力且善于表达中国主张的多语种金融高端人才。在2018年的全国金融硕士专业学位授权点合格评估中，上海外国语大学金融硕士（
【南京师范大学】,商学院,2024-05-28,2024-06-15,南京师范大学商学院2024年优秀本科生夏令营活动公告发布时间：2024/05/27  为加强南京师范大学商学院与国内大学相关院系的联系，促进全国优秀大学生交流，增强广大有志青年学术互动，激发青年学生对专业研究的兴趣，学院将于暑期举办2024年优秀本科生夏令营活动。一、申请对象2025届在校本科生二、申报专业区域经济学、产业经济学、国际贸易学、金融学、企业管理、技术经济及管理、金融（MF）、国际商务
【南京大学】,集成电路学院,2024-05-28,2024-06-15,2024年南京大学集成电路学院优秀大学生夏令营报名通知南京大学集成电路学科最早源于1956年中国首届五校联办半导体物理专业，历经甲子，弦歌不辍、硕果累累。集成电路学院于2022年挂牌，是苏州校区首批建设的学院之一。在新的历史起点上，学院以芯片领域立德树人、推动国家科技自力自强为根本使命，发挥南京大学基础学科优势，通过多学科交叉、产业界合作打造新工科办学新模式示范区。学院依托一级交叉学科“集成电路科
【南开大学】,物理科学学院,2024-05-28,2024-06-10,南开大学2024年物理学优秀大学生夏令营报名通知发布时间：2024-05-27为增进高校间优秀大学生的交流与联系，拓展研究视野，培养科研兴趣，南开大学物理科学学院和泰达应用物理研究院拟于2024年6月下旬举办“2024年南开大学物理学优秀大学生夏令营”，现面向全国高校大三在读本科生招募营员，欢迎优秀青年学子报名参加！对夏令营中表现优异的营员，将授予优秀营员称号。一、学科介绍  ————百年物理风华
【兰州大学】,大气科学学院,2024-05-28,2024-06-20,兰州大学大气科学学院2024年优秀大学生夏令营第一轮通知为引导和激发大学生从事科研的兴趣和热情，大气科学学院将举办大学生夏令营活动，欢迎来自全国各地的优秀在校大学生报名参加，现将相关事项通知如下：一、申请时间及办法1.申请时间：即日起至2024年6月20日前，登录兰州大学硕士研究生推免生系统（http://yjszs.lzu.edu.cn/lzuyjsytms/）进行网上报名。2.我院根据申请人提
